age,type,origin,rarity
1032,1,1,0.0
4742,3,4,0.0
3036,2,1,0.0
1315,2,3,0.0
3000,3,6,0.0
992,1,2,0.0
4688,1,0,0.0
3095,1,2,0.0
3884,1,1,0.0
2192,4,3,0.0
890,4,4,0.0
3803,1,2,0.0
2762,3,5,0.0
4240,1,4,0.0
4223,0,4,0.0
4765,4,1,0.0
4113,1,3,0.0
4864,4,1,0.0
4899,3,4,0.0
3385,1,1,0.0
4367,3,6,0.0
366,3,2,0.0
2561,4,2,0.0
2105,0,1,0.0
1816,2,3,0.0
1631,4,2,0.0
3735,0,6,0.0
2893,4,6,0.0
1336,4,5,0.0
1098,4,0,0.0
3739,0,0,0.0
4362,1,0,0.0
4907,4,2,0.0
3200,2,2,0.0
1821,1,4,0.0
1652,1,4,0.0
1899,0,1,0.0
1436,2,4,0.0
4190,1,1,0.0
4585,4,5,0.0
4519,2,1,0.0
3536,4,0,0.0
668,4,0,0.0
1604,1,0,0.0
3718,4,6,0.0
3185,2,3,0.0
1683,2,5,0.0
1017,2,0,0.0
3460,2,4,0.0
4839,0,3,0.0
2281,1,2,0.0
2889,3,6,0.0
4559,0,5,0.0
3621,4,5,0.0
3960,1,3,0.0
1233,0,3,0.0
2704,0,0,0.0
4085,4,1,0.0
939,0,1,0.0
2233,1,1,0.0
4771,3,1,0.0
3440,3,0,0.0
1235,3,3,0.0
2361,1,5,0.0
2962,4,6,0.0
3453,0,6,0.0
2631,4,3,0.0
2963,0,3,0.0
1506,3,0,0.0
3935,1,4,0.0
2287,2,1,0.0
4692,3,0,0.0
681,3,0,0.0
4878,3,4,0.0
4399,3,5,0.0
1707,0,4,0.0
1654,1,0,0.0
2522,2,1,0.0
4710,4,5,0.0
4281,0,3,0.0
4284,1,4,0.0
2288,2,2,0.0
3834,1,4,0.0
317,4,5,0.0
1113,1,6,0.0
2061,3,5,0.0
2736,2,4,0.0
862,1,5,0.0
3261,2,5,0.0
1399,3,4,0.0
1716,2,2,0.0
845,4,5,0.0
3429,3,0,0.0
1745,2,5,0.0
4221,2,1,0.0
2491,3,1,0.0
4982,2,4,0.0
349,0,3,0.0
3038,2,3,0.0
3698,1,1,0.0
2801,4,0,0.0
660,3,6,0.0
1137,3,4,0.0
1019,0,0,0.0
2590,0,3,0.0
4869,0,2,0.0
4211,0,3,0.0
4477,0,4,0.0
2068,1,1,0.0
721,0,6,0.0
3975,4,6,0.0
2217,3,0,0.0
1439,1,1,0.0
3448,4,5,0.0
2808,2,6,0.0
1589,0,2,0.0
3935,3,1,0.0
4676,4,2,0.0
2911,0,1,0.0
2936,0,5,0.0
2685,4,0,0.0
2933,4,3,0.0
1323,1,3,0.0
1612,0,0,0.0
2911,2,1,0.0
4472,4,0,0.0
2054,1,4,0.0
2205,4,3,0.0
20,3,3,0.0
1112,4,2,0.0
3991,2,6,0.0
3244,0,6,0.0
4416,2,6,0.0
3564,4,0,0.0
1583,3,0,0.0
2124,1,4,0.0
3509,1,5,0.0
3889,3,4,0.0
1019,2,2,0.0
