age,type,origin,rarity
901,2,1,0.0
2008,0,6,0.0
1682,2,6,0.0
2416,1,5,0.0
2060,0,1,0.0
1619,4,2,0.0
2270,3,6,0.0
2404,0,0,0.0
1137,3,2,0.0
541,1,2,0.0
2340,3,1,0.0
1214,1,4,0.0
2562,4,5,0.0
2409,0,1,0.0
866,2,1,0.0
417,3,5,0.0
596,3,1,0.0
2578,4,4,0.0
2871,3,2,0.0
2897,3,5,0.0
2472,3,6,0.0
2401,3,4,0.0
2405,0,3,0.0
2719,4,0,0.0
1977,4,2,0.0
2344,1,4,0.0
44,3,2,0.0
987,4,4,0.0
193,0,6,0.0
2963,2,6,0.0
1693,2,5,0.0
2891,4,1,0.0
2766,2,4,0.0
354,3,3,0.0
466,4,5,0.0
1108,2,6,0.0
1280,3,6,0.0
2582,0,4,0.0
2547,1,4,0.0
2575,1,4,0.0
807,1,2,0.0
764,1,1,0.0
1433,4,3,0.0
498,1,0,0.0
1431,2,2,0.0
29,1,2,0.0
1603,1,1,0.0
1741,1,2,0.0
2906,3,0,0.0
2200,3,6,0.0
271,3,6,0.0
1370,0,5,0.0
1056,1,5,0.0
27,2,6,0.0
2097,2,3,0.0
2365,3,5,0.0
2746,0,4,0.0
1585,3,2,0.0
309,0,3,0.0
226,2,2,0.0
427,3,4,0.0
637,3,1,0.0
1519,0,1,0.0
1769,3,5,0.0
2563,0,1,0.0
346,0,4,0.0
2076,0,1,0.0
2972,3,1,0.0
2242,1,3,0.0
2401,4,1,0.0
2067,1,4,0.0
599,3,2,0.0
325,0,3,0.0
2602,4,1,0.0
918,3,6,0.0
20,0,2,0.0
19,3,4,0.0
2463,3,1,0.0
360,2,5,0.0
1172,0,3,0.0
1008,1,4,0.0
257,3,2,0.0
1687,4,2,0.0
2683,0,1,0.0
1001,0,2,0.0
865,3,2,0.0
2220,2,6,0.0
1233,2,2,0.0
1698,0,1,0.0
2071,2,6,0.0
1599,3,1,0.0
1697,3,6,0.0
1448,0,2,0.0
1362,2,1,0.0
1858,0,1,0.0
1021,0,0,0.0
461,1,4,0.0
2069,3,0,0.0
2884,3,0,0.0
2017,0,3,0.0
1864,2,1,0.0
2333,1,0,0.0
1706,0,2,0.0
2100,2,0,0.0
904,3,2,0.0
988,3,4,0.0
2861,2,6,0.0
2024,3,4,0.0
995,0,4,0.0
2847,2,4,0.0
973,2,1,0.0
1367,2,4,0.0
953,2,3,0.0
1443,1,6,0.0
596,0,0,0.0
270,1,1,0.0
2840,1,4,0.0
2314,1,3,0.0
1938,4,1,0.0
12,0,2,0.0
2119,2,6,0.0
896,4,1,0.0
1656,0,0,0.0
1258,4,0,0.0
2295,3,4,0.0
2313,4,4,0.0
2426,0,6,0.0
443,1,1,0.0
1872,3,6,0.0
1055,4,2,0.0
1535,0,3,0.0
268,1,6,0.0
217,3,1,0.0
2128,0,2,0.0
2547,0,6,0.0
2425,1,6,0.0
2194,3,2,0.0
2366,1,1,0.0
2283,1,5,0.0
1126,3,3,0.0
992,2,1,0.0
1398,0,1,0.0
1850,0,4,0.0
2318,2,4,0.0
1846,3,0,0.0
2825,4,3,0.0
2584,4,2,0.0
1100,1,2,0.0
2476,3,4,0.0
2485,0,5,0.0
646,3,1,0.0
849,3,6,0.0
369,2,3,0.0
260,1,2,0.0
1495,3,2,0.0
2730,3,2,0.0
1720,0,4,0.0
2863,4,2,0.0
1928,0,4,0.0
2619,1,2,0.0
1514,4,0,0.0
553,0,3,0.0
817,4,5,0.0
884,3,6,0.0
445,1,2,0.0
1879,3,6,0.0
2648,2,4,0.0
1720,3,1,0.0
1869,2,5,0.0
1521,3,0,0.0
2320,4,1,0.0
276,2,5,0.0
2724,1,1,0.0
2927,3,4,0.0
2072,2,5,0.0
1573,3,4,0.0
1992,3,5,0.0
2462,3,3,0.0
825,2,4,0.0
1518,1,4,0.0
511,3,3,0.0
2936,1,1,0.0
968,1,1,0.0
1191,4,5,0.0
2558,2,3,0.0
1982,4,0,0.0
2386,4,6,0.0
2417,2,6,0.0
2713,0,4,0.0
2120,2,3,0.0
2331,2,5,0.0
831,4,0,0.0
2686,1,1,0.0
482,4,6,0.0
1321,0,3,0.0
403,3,5,0.0
1000,3,6,0.0
576,1,6,0.0
183,2,2,0.0
1416,3,4,0.0
2271,0,1,0.0
2684,0,5,0.0
1387,4,6,0.0
2465,1,6,0.0
1971,0,5,0.0
30,1,2,0.0
1745,2,0,0.0
1192,0,4,0.0
489,1,0,0.0
2643,0,4,0.0
432,1,6,0.0
1436,4,0,0.0
1853,4,0,0.0
102,0,3,0.0
1305,3,6,0.0
918,3,3,0.0
661,0,1,0.0
2327,2,6,0.0
33,4,3,0.0
422,1,4,0.0
763,0,4,0.0
2322,3,1,0.0
1723,0,3,0.0
799,1,5,0.0
830,0,3,0.0
2466,3,4,0.0
1478,3,3,0.0
1845,3,2,0.0
1381,0,3,0.0
639,3,0,0.0
2261,2,2,0.0
1514,2,5,0.0
2965,3,3,0.0
1171,4,6,0.0
2213,0,0,0.0
1039,1,2,0.0
1671,2,6,0.0
163,1,6,0.0
148,3,2,0.0
502,4,2,0.0
1606,1,1,0.0
